name,quantile
FATMA,0.04896284714021341
AYSE,0.08762840961523705
EMINE,0.11901188799829389
HATICE,0.1464121046510585
ZEYNEP,0.15969832049262095
MERYEM,0.16842765302471774
ELIF,0.1770483602056507
SULTAN,0.1841900485226454
HULYA,0.19101148140064916
SEVIM,0.19772684012839717
OZLEM,0.20433134120418675
SERIFE,0.21088701070009538
FADIME,0.2172830308266788
HANIFE,0.2234660655399527
AYSEL,0.22963032500904382
DILEK,0.23560404166031357
ZEHRA,0.2415576676044323
YASEMIN,0.247492677754425
HACER,0.2533591642425275
HAVVA,0.2591731517994437
LEYLA,0.26465237396220437
AYNUR,0.27011891984545305
SONGUL,0.2754073600153072
ZELIHA,0.2806438194666595
FILIZ,0.2857197127108602
CEMILE,0.29064161706275055
KADRIYE,0.29544999297423186
MELEK,0.30024310154277895
SELMA,0.30490685625278413
AYTEN,0.3095521944812342
SEVGI,0.31412211283283953
TURKAN,0.3182151160646929
SIBEL,0.32229026089018975
SEMRA,0.3263253438889271
HAYRIYE,0.3303058551057403
ESRA,0.33424997184709937
GULSUM,0.3381780638577546
HALIME,0.3420449270466162
SUKRAN,0.3459013861192746
ARZU,0.34975732697924855
DERYA,0.3536125104514529
SERPIL,0.357454937919117
GULSEN,0.3612252540986139
NURAY,0.36492561156570985
ASIYE,0.36854293541575106
NURCAN,0.37210596652146744
GULAY,0.3756540890468773
NURTEN,0.3791798885643416
DONDU,0.38267017058166386
GONUL,0.3859379799072997
CIGDEM,0.3891760916598651
HANIM,0.3923759353988095
KEZIBAN,0.39556820526005804
GULER,0.3987496325174473
PINAR,0.40192324672205565
MERAL,0.40506377503988744
RUKIYE,0.40818186076223106
HAVA,0.41129799322137944
TUGBA,0.41441376691790016
SANIYE,0.41746464444132186
GULTEN,0.4205060346863667
NURIYE,0.42351541533251813
NACIYE,0.42650179530798277
YILDIZ,0.42946692856338486
SEHER,0.4323937140801376
AYSEGUL,0.4353028405031048
ZEKIYE,0.4382061071364863
NECLA,0.44110435109308
REMZIYE,0.4440007215115068
EBRU,0.44684303836069394
EMEL,0.4496749112311637
PERIHAN,0.452498652148739
TULAY,0.45532016076551973
SEMA,0.4581049560067328
SERAP,0.46087540074283795
YETER,0.46363209291154805
HURIYE,0.466355978231081
SAFIYE,0.46907743193724843
ESMA,0.4717946203543977
NAZMIYE,0.4745092575706389
MAKBULE,0.4772142879209606
NURAN,0.4798901389108963
CANAN,0.48254829094453233
NERMIN,0.4851807715190309
SENGUL,0.4877767380305327
MUNEVVER,0.4903672035150765
SEVDA,0.4929404483934908
RABIA,0.49551277643407887
AYFER,0.4980833106615284
NESLIHAN,0.5006487026246476
SALIHA,0.5031922499299915
FERIDE,0.5057030701111865
HAMIDE,0.5082136909798106
ZUBEYDE,0.5107169372833099
MELIHA,0.5132136461344822
GULLU,0.5156847233890313
NERIMAN,0.5181280563337051
ILKNUR,0.5205692367026127
RAHIME,0.5230028830563387
SAADET,0.5253906875187478
MEDINE,0.5277699215406064
GULCAN,0.5301484380372097
MUZEYYEN,0.5324589490846072
DUDU,0.5347343811195188
GUL,0.5369459534067003
HEDIYE,0.5391536988925197
ARIFE,0.5413565014265798
BURCU,0.5435323170385341
GULSEREN,0.5456984061970265
MERVE,0.5478610273167844
AYSUN,0.5499550849121381
MELAHAT,0.5520451163935586
SADIYE,0.5541233884332936
NESRIN,0.5561509952174949
ZAHIDE,0.558158909919687
NAZIFE,0.5601575366560732
BIRGUL,0.5621158225281006
FIKRIYE,0.5640712781616206
NAZLI,0.566002537249028
CENNET,0.5679274183341655
ELMAS,0.569837749601624
NIHAL,0.5717285880996443
HAFIZE,0.5735986980902866
NIMET,0.5754618321409459
NEVIN,0.5773239297662363
KEZBAN,0.579168567610312
REYHAN,0.5809982171490529
HABIBE,0.5828265910873398
NURGUL,0.5846460358224483
SEBAHAT,0.5864600193931132
RAZIYE,0.5882682627617348
BAHAR,0.5900721611163099
SUKRIYE,0.591861509653206
BEDRIYE,0.5936408128365268
LUTFIYE,0.5954191194569929
SEDA,0.597188377286738
SUNA,0.5989561602034583
YUKSEL,0.6007164091049969
SATI,0.6024728312051734
DENIZ,0.6042179722138344
TUBA,0.6059555393447997
NEBAHAT,0.6076817057967071
NILGUN,0.6094037265471389
SEMIHA,0.6111040620898521
HATUN,0.6127910436903121
DUYGU,0.6144623991852102
MINE,0.6161236296015045
ASLI,0.6177784421530143
MEHTAP,0.6194256409643141
KIYMET,0.6210723614254436
SENAY,0.6227016221053586
BIRSEN,0.6243216346819819
SELDA,0.6259403317956368
NESE,0.6275587100091783
ALIYE,0.6291489054251885
GAMZE,0.6307300919129921
BETUL,0.6322848096913745
SUZAN,0.6338219481009997
SABRIYE,0.6353556184718905
NEJLA,0.6368794029392625
UMMU,0.6383967695418502
KUBRA,0.6399033334030927
SAKINE,0.641409418914165
GULUZAR,0.642909525048109
DONE,0.6443969549025411
YELIZ,0.6458811160308098
SEVIL,0.6473459039771827
PAKIZE,0.6488008060200369
AYLA,0.6502256915897071
KAMILE,0.6516417276812274
AZIZE,0.6530479177317432
NUR,0.6544515964438651
NEZAHAT,0.6558502126166851
GULHAN,0.6572456796508841
NURSEN,0.658638595484175
OZNUR,0.6600262893281074
HASIBE,0.6614042965810918
SAIME,0.6627758062442636
SEVINC,0.6641438080061867
NURSEL,0.665508461316918
FUNDA,0.6668610362858501
SAZIYE,0.6682091466531931
HILAL,0.6695557023824829
NAIME,0.6708865921436964
ADILE,0.6721663781617202
NURHAN,0.6734396267274171
NILUFER,0.6747125563930005
ZUHAL,0.67598126063208
FAHRIYE,0.677248410233106
SEFIKA,0.6785048766803295
OZGE,0.6797423287082851
ZULEYHA,0.6809737614965983
FIGEN,0.6822048355222836
MELTEM,0.6834296511332415
EDA,0.6846467732789608
ELIFE,0.6858577964600094
SINEM,0.6870675839031182
DEMET,0.6882712325190419
SABIHA,0.6894586969542049
MEVLUDE,0.6906367139735053
YESIM,0.6918108643289296
GULBAHAR,0.6929849349593253
SENEM,0.6941417052585632
GULIZAR,0.6952844040902926
FIDAN,0.6964176953686735
DILBER,0.6975477976459192
GULSAH,0.6986717212334658
SUHEYLA,0.6997865960302915
MELIKE,0.7008964481503295
DURDANE,0.7019997628180406
SIDIKA,0.7030983338465632
FATIME,0.7041962670748588
MUKADDES,0.7052853508250045
KEVSER,0.7063696510734476
UMMUHAN,0.7074467760693368
SEVAL,0.7085185993508389
ASUMAN,0.7095871140436634
HUSNIYE,0.7106478555462211
BEHIYE,0.7117017805588525
IPEK,0.7127512409698948
NAZAN,0.71379539966655
SEVILAY,0.7148333796735061
BEYHAN,0.7158698449049229
VESILE,0.7168769314633828
ESME,0.7178838984343001
INCI,0.7188906262301322
HUSNE,0.7198938461247159
NIGAR,0.720884310014759
MUAZZEZ,0.7218703890282416
NAZIRE,0.7228555512038978
NECMIYE,0.7238405937920114
NURDAN,0.7248158302016345
ULKU,0.7257896714232611
FIRDEVS,0.7267624363570047
SEYHAN,0.7277346830780638
AZIME,0.7286931772317278
BAHRIYE,0.7296490404594553
GULCIN,0.7306043057494701
VILDAN,0.7315509607364201
HALISE,0.7324963002604019
SELIME,0.7334333882439467
NAILE,0.7343671676388137
MEDIHA,0.7352945690314107
GULDANE,0.7362191800480143
KADER,0.7371418776639371
HANDAN,0.7380602302658132
ESIN,0.7389537485213499
ALIME,0.7398436791506096
SULE,0.7407289857282233
ZOHRE,0.7416037287395773
AYLIN,0.7424666325842171
UMMUGULSUM,0.743316262211632
SABAHAT,0.7441622244877418
AYSEN,0.7449905276700659
RABIYE,0.7458183126397057
OZGUL,0.7466454598091183
YASAR,0.7474690990772824
HIKMET,0.7482842874924386
MUSERREF,0.7490964463565164
SEBIHA,0.7499023069433524
LATIFE,0.7507028658158013
NAFIYE,0.7514920638717065
NEZAKET,0.7522799863271576
HADICE,0.7530677891950662
CEVRIYE,0.7538551934378329
KUDRET,0.7546294430509174
HAMDIYE,0.7554035730764593
NAHIDE,0.756172999325327
SEHRI,0.7569415884613967
NAGIHAN,0.7577100978724379
GULSER,0.7584758567700003
GULISTAN,0.7592386658415127
BANU,0.7599995216498298
FETHIYE,0.7607588228200935
NESIBE,0.7615176855027012
GULNAZ,0.7622762691477095
VAHIDE,0.7630339359548916
YURDAGUL,0.7637860220100872
SEVCAN,0.7645369919148856
BERNA,0.7652823412051833
BUSRA,0.7660263351699986
FEVZIYE,0.7667674988963067
BELGIN,0.7675059519716497
SUREYYA,0.768242292333741
BEDIA,0.7689776759954915
DIDEM,0.7697121029569016
ZULFIYE,0.7704454137679144
NADIRE,0.7711764524156185
NALAN,0.7719042621996733
GUNAY,0.7726320321212139
OYA,0.7733592041050417
LEMAN,0.7740827087375641
MUNIRE,0.7748057350199163
GULDEN,0.7755279241894705
SELVER,0.7762334109655797
CICEK,0.7769353898404403
UMRAN,0.7776331034262828
ADALET,0.7783220472590037
NEZIHA,0.7790080811281889
NURHAYAT,0.7796931184345194
AYGUL,0.7803693461252141
GIZEM,0.7810433415151143
GOZDE,0.7817092846771485
DURDU,0.7823711618627355
ESE,0.7830326802856946
SIDDIKA,0.7836934413208843
FEHIME,0.7843539233184745
TULIN,0.785013568203267
BERRIN,0.7856683498613283
PELIN,0.7863186270552863
MURUVVET,0.7869655956605667
SELVI,0.7876043924504385
TUGCE,0.7882419933648845
GULHANIM,0.7888795145543022
FIRDES,0.7895156405557233
SIRIN,0.7901465844303
MESUDE,0.790774458891284
HAMIYET,0.7913996625638174
NEFISE,0.7920240291235529
CAHIDE,0.7926480369206607
TESLIME,0.79327196499274
ALEV,0.793894338426766
CEYLAN,0.7945150376351962
DURSUN,0.795135457806027
ZARIFE,0.7957491810744741
GUNER,0.7963576026285342
HALIDE,0.7969640310568848
GULUMSER,0.7975683069094692
MENEKSE,0.7981683174730355
SEHRIBAN,0.7987667733985484
UMMAHAN,0.7993631166108093
ATIYE,0.7999587422978148
GURBET,0.8005505013209441
MIYASE,0.8011391510679666
LALE,0.8017240138761412
SERMIN,0.8023066842460355
GULBEYAZ,0.8028861656147945
MURVET,0.8034552030048363
NECIBE,0.8040179421176362
SEYMA,0.8045773726417585
BINNAZ,0.8051362849531964
CANSU,0.805693881801666
SECIL,0.8062477315738019
ASLIHAN,0.8067961999065224
SENNUR,0.8073436318138739
MUJGAN,0.8078885125203175
NERGIZ,0.8084317588636791
GUNES,0.8089740086441862
KERIME,0.8095157402120088
ZERRIN,0.8100545219537814
BIRCAN,0.8105929847954405
MENSURE,0.8111307301118442
EZGI,0.811668076803106
BILGE,0.8122037094062579
GULSUN,0.8127384650340974
NAZIME,0.8132714667113127
PERVIN,0.8138039501758435
ILKAY,0.8143355965275764
MUKERREM,0.8148644126408019
MUALLA,0.8153870899268423
HURU,0.8159063390366625
ELVAN,0.8164253888339118
SELIN,0.8169434819308206
REFIKA,0.8174612162651017
MUKADDER,0.8179776749989287
SABIRE,0.8184939344201848
KIRAZ,0.8190072440153909
SEMSI,0.8195172848844335
GULPERI,0.8200270068533627
YADIGAR,0.820535493084352
BEHICE,0.8210423848147739
BUKET,0.8215489576450821
AYHAN,0.8220417380454811
GONCA,0.8225316483448586
SUKRUYE,0.8230203229062962
AYISE,0.8235050510788291
HURI,0.8239897792513621
SAMIYE,0.8244682490091674
SEYDA,0.8249434500408093
ULVIYE,0.8254162194590856
ISMET,0.825877349023219
ESENGUL,0.8263368442242705
NEVRIYE,0.8267951834124107
SARIYE,0.8272514497498129
FAZILET,0.8277057229615058
SUNDUS,0.8281442903426084
SERVET,0.8285826982736542
RESMIYE,0.8290208670296149
EMRIYE,0.8294563649971249
NAZIK,0.8298918231021208
HICRAN,0.8303264839568328
ALTUN,0.8307573578726971
FATMANA,0.8311881919260471
MUGE,0.8316181091415707
HIDAYET,0.8320473885568673
NILAY,0.8324759504469086
OZDEN,0.8329042332993506
EDIBE,0.833331559451452
DURIYE,0.833758805878525
MURADIYE,0.8341841787674311
SEVGUL,0.8346072396305143
EYLEM,0.8350299417309699
ISLIM,0.8354526039689112
HANDE,0.8358716387180614
UNZILE,0.8362898363544137
AYSER,0.8367075157780814
HAZAL,0.8371218467505573
GULNUR,0.8375352210226927
JALE,0.8379454062936931
GULESER,0.8383541963766967
MUYESSER,0.8387629465971863
SOLMAZ,0.8391713779175624
GUZEL,0.8395765006492607
SEDEF,0.839980547093076
IKBAL,0.8403828395862669
NADIYE,0.8407840956540891
VASFIYE,0.841181524920549
CEVAHIR,0.8415788345994665
MIHRIBAN,0.8419735532149616
SADET,0.8423673549926304
ULKER,0.8427605986951006
FERIHA,0.8431496966960952
DAMLA,0.8435373995090931
SUMEYRA,0.8439251023220911
DURKADIN,0.8443113700845782
NEZIHE,0.8446954852712993
ECE,0.8450776870573392
HUSNA,0.8454596098057798
FULYA,0.8458401373662239
FATIMA,0.8462160807375363
NEBIYE,0.8465919045213061
GULUSTAN,0.8469675289925048
SUNAY,0.8473415191006219
FERDA,0.8477146720959411
BURCIN,0.8480873068785758
ISIL,0.8484561547223626
CEREN,0.8488247633910643
TENZILE,0.8491930531596523
ATIKE,0.8495593099400168
ESEN,0.8499252876827821
KIBAR,0.8502895513374372
NEDIME,0.8506524198040957
SENEL,0.851011660781963
MEMNUNE,0.8513699450594898
IMRAN,0.8517241234980552
MUMINE,0.8520779431739929
BASAK,0.8524276570109691
SEBNEM,0.8527773309854313
ZUHRE,0.8531263272971521
HASRET,0.8534726129579082
GOKCE,0.8538179419183237
GULLUZAR,0.854162792528569
GULFIDAN,0.854506526988417
SEYRAN,0.8548493844729528
NADIDE,0.8551898900691515
YAGMUR,0.8555293991024955
SARE,0.8558671940477294
SACIDE,0.8562041518801653
MULKIYE,0.8565381200240371
AYCAN,0.8568720483053947
GAZAL,0.8572059765867522
FUSUN,0.857538868442741
BIRSEL,0.8578702056606763
EMIR,0.8582014232910691
FERDANE,0.8585276581071883
NARIN,0.8588500661219454
SALIHE,0.8591723146866458
PENBE,0.8594942443512326
CEYDA,0.8598137025399397
SATIYE,0.8601317655406503
HAKIME,0.8604485130783927
BEYAZ,0.8607642640532802
HALE,0.8610786198401712
GULDEREN,0.861391859476665
MERCAN,0.8617049396631019
SAIDE,0.8620175414993687
FADILE,0.8623286285600962
UNZULE,0.8626394365832245
SUMEYYE,0.8629488494183561
ESMER,0.8632573852781755
ZINNET,0.863564844850112
AYCA,0.8638693545959985
FATOS,0.8641732265416578
IREM,0.8644731122358984
SEBILE,0.8647722006798552
GANIME,0.8650702128359289
SENIHA,0.8653653150284668
SEZEN,0.8656593010706075
NAZILE,0.8659519317872657
NEVIM,0.8662440442912395
MUZAFFER,0.8665357183075573
BEDIHA,0.8668247613979385
NIHAN,0.8671100972745003
SAFINAZ,0.8673946359007783
GULFER,0.8676786164518575
MURUVET,0.8679622781028233
AYSENUR,0.8682457404412183
REFIYE,0.8685290433295564
FADIMANA,0.8688105125422418
ERGUL,0.8690909851920725
MUHSINE,0.8693706605916195
MUBERRA,0.8696489009406557
SEVDIYE,0.8699260650018088
FEYZA,0.8702017142874227
HACIRE,0.8704767656353237
ISMIHAN,0.8707508602828843
BELMA,0.8710226030421078
ZENNURE,0.8712943059388171
MECBURE,0.8715658892479837
SARA,0.8718373131070937
ASYA,0.8721062256278097
SONAY,0.8723746996608697
SAHIDE,0.8726414596058195
HUMEYRA,0.8729079006506559
AYDAN,0.8731734248576659
MUNISE,0.8734378329142787
PEMBE,0.8737018822082637
GUNGOR,0.8739633404388265
KAMER,0.8742245993568183
GUZIDE,0.8744852603370974
HADIYE,0.8747448848920074
SEMAHAT,0.8750029149463501
RAIFE,0.8752589917374973
UMIT,0.8755145503159603
GULI,0.8757699494443664
BELKIS,0.8760224386092368
EMIS,0.8762740906613091
CIHAN,0.8765247461505268
SEHRIYE,0.8767745246644324
BESRA,0.8770232268904549
GULCIHAN,0.8772715304913354
KADIN,0.8775173626163363
AKILE,0.8777630751537946
ISMAHAN,0.8780087478287387
OMUR,0.878254261053626
PENPE,0.8784961866522364
OLCAY,0.878736876512907
HAYAT,0.8789774866485491
SELVINAZ,0.8792177778840778
MURSIDE,0.879457550906922
NURDANE,0.8796972442047378
YURDANUR,0.8799350639643868
FERHAN,0.8801716081235818
SOHRET,0.8804081522827767
ZINET,0.8806442579543156
TELLI,0.8808801643132835
DILARA,0.8811150741093967
SERIF,0.8813499440429957
FERAY,0.8815839370012826
GURCU,0.881814661233406
GULEN,0.8820449868403875
SEVTAP,0.8822743956095427
KAMURAN,0.8825031665784708
GUZIN,0.8827313396096862
MENEVSE,0.8829589147031887
NESIME,0.8831857722714358
SUNDUZ,0.8834123508020836
AFIFE,0.8836385307075896
SADUMAN,0.8838633951501272
SEHNAZ,0.884087860967523
MUHTEREM,0.884309815446525
BAKIYE,0.8845303348750161
HILMIYE,0.8847503360908228
CAGLA,0.8849701379940585
ZULBIYE,0.8851893818220956
BESIME,0.8854078682623631
SAYIME,0.8856261155275454
GULLER,0.8858439243050719
FADIK,0.8860599791319739
SAKIRE,0.8862757150587623
SATU,0.8864902551101251
ZEYCAN,0.8867044762613745
GULGUN,0.886918298787482
EMSAL,0.8871316828259334
BEGUM,0.887344907414328
HASINE,0.8875569759898111
SEMSE,0.8877678088273545
HAVANA,0.8879786018023835
UMMUHANI,0.8881892751898701
FETIYE,0.8883997492647857
EVRIM,0.8886092666393608
SEVKIYE,0.8888180664886806
GULUSAN,0.8890266271629151
PAMUK,0.8892348689370362
SALIME,0.8894419546982457
AKGUL,0.8896488012843702
ZUMRUT,0.8898553688328954
BINNUR,0.8900606209184523
KERIMAN,0.8902657534164666
MELIHAT,0.8904702082517397
